"timestamp","container","test_type","model","run","verdict","turns_taken","input_tokens","output_tokens","total_tokens","llm_seconds"
"2026-05-02T21:40:59+00:00","pinotpinotspiab22358testGetPluginsToLoad","id","openai","run 1","FAILED","2","15950","1277","17227","9.0"
"2026-05-02T21:40:59+00:00","pinotpinotspiab22358testGetPluginsToLoad","id","openai","run 2","FAILED","2","15928","1233","17161","7.4"
"2026-05-02T21:56:27+00:00","scimonoscimonoclient7487ec5testCreateDefaultIdentityFilter3","id","claude","run 1","PASSED","1","7523","1440","8963","24.2"
"2026-05-02T21:56:27+00:00","scimonoscimonoclient7487ec5testCreateDefaultIdentityFilter3","id","claude","run 2","PASSED","1","7265","1470","8735","22.4"
"2026-05-02T21:56:27+00:00","scimonoscimonoclient7487ec5testCreateDefaultIdentityFilter3","id","openai","run 1","FAILED","2","12032","816","12848","10.2"
"2026-05-02T21:56:27+00:00","scimonoscimonoclient7487ec5testCreateDefaultIdentityFilter3","id","openai","run 2","FAILED","2","12407","675","13082","5.8"
"2026-05-02T22:03:43+00:00","elasticjob294","nio","claude","run 1","FAILED","2","18666","3572","22238","51.7"
"2026-05-02T22:03:43+00:00","elasticjob294","nio","claude","run 2","PASSED","2","18781","3031","21812","53.1"
"2026-05-02T22:03:43+00:00","elasticjob294","nio","openai","run 1","FAILED","2","14809","928","15737","11.5"
"2026-05-02T22:03:43+00:00","elasticjob294","nio","openai","run 2","FAILED","2","14300","867","15167","8.0"
"2026-05-02T22:10:26+00:00","quickcheckc1c1","nio","claude","run 1","PASSED","1","5756","1039","6795","15.5"
"2026-05-02T22:10:26+00:00","quickcheckc1c1","nio","claude","run 2","PASSED","1","5756","994","6750","14.5"
"2026-05-02T22:10:26+00:00","quickcheckc1c1","nio","openai","run 1","PASSED","2","10327","680","11007","8.8"
"2026-05-02T22:10:26+00:00","quickcheckc1c1","nio","openai","run 2","PASSED","2","10327","711","11038","8.0"
"2026-05-02T22:16:58+00:00","quickcheckc1c2","nio","claude","run 1","PASSED","1","5888","939","6827","14.5"
"2026-05-02T22:16:58+00:00","quickcheckc1c2","nio","claude","run 2","PASSED","1","5888","973","6861","16.4"
"2026-05-02T22:16:58+00:00","quickcheckc1c2","nio","openai","run 1","PASSED","2","10486","657","11143","6.7"
"2026-05-02T22:16:58+00:00","quickcheckc1c2","nio","openai","run 2","PASSED","2","10490","694","11184","6.6"
"2026-05-02T22:20:26+00:00","quickcheckc1c34","nio","claude","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T22:20:26+00:00","quickcheckc1c34","nio","claude","run 2","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T22:20:26+00:00","quickcheckc1c34","nio","openai","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T22:20:26+00:00","quickcheckc1c34","nio","openai","run 2","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T22:26:39+00:00","quickcheck9a0","nio","claude","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T22:26:39+00:00","quickcheck9a0","nio","claude","run 2","PASSED","1","8645","1168","9813","18.4"
"2026-05-02T22:26:39+00:00","quickcheck9a0","nio","openai","run 1","PASSED","2","14548","789","15337","7.2"
"2026-05-02T22:26:39+00:00","quickcheck9a0","nio","openai","run 2","PASSED","2","14432","701","15133","6.9"
"2026-05-02T22:36:56+00:00","COLLECTIONS-812","td","claude","run 1","PASSED","1","8157","7492","15649","106.9"
"2026-05-02T22:36:56+00:00","COLLECTIONS-812","td","claude","run 2","PASSED","1","8157","12275","20432","130.0"
"2026-05-02T22:36:56+00:00","COLLECTIONS-812","td","openai","run 1","PASSED","2","13994","1032","15026","7.3"
"2026-05-02T22:36:56+00:00","COLLECTIONS-812","td","openai","run 2","PASSED","2","14024","994","15018","8.4"
"2026-05-02T22:52:24+00:00","BOOKKEEPER-846","td","claude","run 1","PASSED","2","23804","2391","26195","38.2"
"2026-05-02T22:52:24+00:00","BOOKKEEPER-846","td","claude","run 2","PASSED","2","23256","2583","25839","43.2"
"2026-05-02T22:52:24+00:00","BOOKKEEPER-846","td","openai","run 1","FAILED","2","18648","1208","19856","12.6"
"2026-05-02T22:52:24+00:00","BOOKKEEPER-846","td","openai","run 2","FAILED","2","19360","969","20329","13.8"
"2026-05-02T22:57:42+00:00","APEXCORE-403","td","claude","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T22:57:42+00:00","APEXCORE-403","td","claude","run 2","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T22:57:42+00:00","APEXCORE-403","td","openai","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T22:57:42+00:00","APEXCORE-403","td","openai","run 2","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T23:03:15+00:00","APEXCORE-617-testEmitTuplesOutsideStreamingWindow","td","claude","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T23:03:15+00:00","APEXCORE-617-testEmitTuplesOutsideStreamingWindow","td","claude","run 2","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T23:03:15+00:00","APEXCORE-617-testEmitTuplesOutsideStreamingWindow","td","openai","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T23:03:15+00:00","APEXCORE-617-testEmitTuplesOutsideStreamingWindow","td","openai","run 2","INCOMPLETE","1","0","0","0","0.0"
"2026-05-03T00:25:21+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","claude","run 1","PASSED","2","21706","2763","24469","42.3"
"2026-05-03T00:25:21+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","claude","run 2","PASSED","2","22696","7524","30220","99.3"
"2026-05-03T00:25:21+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","openai","run 1","PASSED","2","16737","887","17624","12.1"
"2026-05-03T00:25:21+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","openai","run 2","PASSED","2","16909","973","17882","14.7"
"2026-05-03T00:31:04+00:00","jnrposixd9f3f84","od","claude","run 1","PASSED","1","10568","1541","12109","21.7"
"2026-05-03T00:31:04+00:00","jnrposixd9f3f84","od","claude","run 2","PASSED","1","10297","1820","12117","23.9"
"2026-05-03T00:31:04+00:00","jnrposixd9f3f84","od","openai","run 1","FAILED","2","16738","944","17682","10.2"
"2026-05-03T00:31:04+00:00","jnrposixd9f3f84","od","openai","run 2","FAILED","2","16417","863","17280","8.8"
"2026-05-03T00:41:51+00:00","dubbodubborpcdubborpcapiba89f44","od","claude","run 1","PASSED","2","16498","2264","18762","36.3"
"2026-05-03T00:41:51+00:00","dubbodubborpcdubborpcapiba89f44","od","claude","run 2","PASSED","2","18433","3227","21660","48.7"
"2026-05-03T00:41:51+00:00","dubbodubborpcdubborpcapiba89f44","od","openai","run 1","FAILED","2","14303","961","15264","7.3"
"2026-05-03T00:41:51+00:00","dubbodubborpcdubborpcapiba89f44","od","openai","run 2","FAILED","2","12898","870","13768","7.4"
"2026-05-03T00:51:52+00:00","dubbodubborpcdubborpcapiba89f441","od","claude","run 1","PASSED","2","18549","2639","21188","42.3"
"2026-05-03T00:51:52+00:00","dubbodubborpcdubborpcapiba89f441","od","claude","run 2","PASSED","2","16576","2861","19437","45.2"
"2026-05-03T00:51:52+00:00","dubbodubborpcdubborpcapiba89f441","od","openai","run 1","PASSED","2","12899","957","13856","9.7"
"2026-05-03T00:51:52+00:00","dubbodubborpcdubborpcapiba89f441","od","openai","run 2","FAILED","2","13291","1069","14360","9.0"
"2026-05-03T01:11:41+00:00","YARN-1268","td","claude","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-03T01:11:41+00:00","YARN-1268","td","claude","run 2","INCOMPLETE","1","0","0","0","0.0"
"2026-05-03T01:11:41+00:00","YARN-1268","td","openai","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-03T01:11:41+00:00","YARN-1268","td","openai","run 2","INCOMPLETE","1","0","0","0","0.0"
